country,lat,long,confirmed,recovered,dead,mask,quarantine,symptom,trump,normalized confirmed
Ireland,53.1424,-7.6921,129.0,0.0,2.0,0.16,0.01,0.57,0.26,0.15925336098663012
Israel,31.0461,34.8516,251.0,4.0,0.0,0.28,0.03,0.53,0.16,0.30986506672592373
Italy,41.8719,12.5674,24747.0,2335.0,1809.0,0.21,0.08,0.64,0.07,30.550720343690976
Jamaica,18.1096,-77.2975,10.0,0.0,0.0,0.1,0.05,0.68,0.17,0.012345221781909312
Japan,36.2048,138.2529,839.0,118.0,22.0,0.07,0.01,0.89,0.03,1.0357641075021913
Jersey,49.19,-2.11,2.0,0.0,0.0,0.16,0.02,0.62,0.2,0.0024690443563818625
Jordan,30.5852,36.2384,8.0,1.0,0.0,0.1,0.01,0.79,0.1,0.00987617742552745
Kazakhstan,48.0196,66.9237,9.0,0.0,0.0,0.46,0.05,0.42,0.07,0.01111069960371838
Kenya,-0.0236,37.9062,3.0,0.0,0.0,0.1,0.03,0.65,0.22,0.0037035665345727937
Kosovo,42.6026,20.903,2.0,0.0,0.0,0.26,0.04,0.5,0.2,0.0024690443563818625
Kuwait,29.3117,47.4818,112.0,5.0,0.0,0.22,0.04,0.63,0.11,0.1382664839573843
Latvia,56.8796,24.6032,30.0,1.0,0.0,0.27,0.06,0.56,0.11,0.037035665345727935
Lebanon,33.8547,35.8623,110.0,1.0,3.0,0.18,0.03,0.61,0.18,0.13579743960100243
Liechtenstein,47.166,9.5554,4.0,0.0,0.0,0.11,0.03,0.56,0.3,0.004938088712763725
Lithuania,55.1694,23.8813,12.0,1.0,0.0,0.45,0.09,0.39,0.07,0.014814266138291175
Luxembourg,49.8153,6.1296,59.0,0.0,1.0,0.17,0.05,0.58,0.2,0.07283680851326495
Malaysia,4.2105,101.9758,428.0,42.0,0.0,0.44,0.03,0.46,0.07,0.5283754922657186
Maldives,3.2028,73.2207,13.0,0.0,0.0,0.25,0.09,0.54,0.12,0.016048788316482106
Malta,35.9375,14.3754,21.0,1.0,0.0,0.23,0.1,0.55,0.12,0.025924965742009556
Martinique,14.6415,-61.0242,9.0,0.0,0.0,0.24,0.03,0.57,0.16,0.01111069960371838
Mauritania,21.0079,-10.9408,1.0,0.0,0.0,0.15,0.01,0.73,0.11,0.0012345221781909312
Mexico,23.6345,-102.5528,41.0,4.0,0.0,0.12,0.01,0.74,0.13,0.05061540930582818
Moldova,47.4116,28.3699,23.0,0.0,0.0,0.33,0.07,0.54,0.06,0.028394010098391417
Monaco,43.7384,7.4246,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024690443563818625
Mongolia,46.8625,103.8467,1.0,0.0,0.0,0.57,0.05,0.26,0.12,0.0012345221781909312
Morocco,31.7917,-7.0926,28.0,1.0,1.0,0.17,0.03,0.71,0.09,0.03456662098934608
Namibia,-22.9576,18.4904,2.0,0.0,0.0,0.1,0.02,0.67,0.21,0.0024690443563818625
Nepal,28.3949,84.124,1.0,1.0,0.0,0.21,0.03,0.66,0.1,0.0012345221781909312
Netherlands,52.1326,5.2913,1135.0,2.0,20.0,0.15,0.04,0.63,0.18,1.401182672246707
New Zealand,-40.9006,174.886,8.0,0.0,0.0,0.21,0.02,0.45,0.32,0.00987617742552745
Nigeria,9.082,8.6753,2.0,0.0,0.0,0.07,0.02,0.61,0.3,0.0024690443563818625
North Macedonia,41.6086,21.7453,14.0,1.0,0.0,0.22,0.03,0.66,0.09,0.01728331049467304
Norway,60.472,8.4689,1221.0,1.0,3.0,0.14,0.1,0.59,0.17,1.507351579571127
Oman,21.4735,55.9754,22.0,9.0,0.0,0.16,0.04,0.68,0.12,0.027159487920200488
Pakistan,30.3753,69.3451,53.0,2.0,0.0,0.24,0.04,0.61,0.11,0.06542967544411936
Panama,8.538,-80.7821,43.0,0.0,1.0,0.09,0.03,0.75,0.13,0.05308445366221004
Paraguay,-23.4425,-58.4438,6.0,0.0,0.0,0.05,0.08,0.81,0.06,0.0074071330691455875
Peru,-9.19,-75.0152,43.0,0.0,0.0,0.08,0.04,0.79,0.09,0.05308445366221004
Philippines,12.8797,121.774,140.0,2.0,11.0,0.38,0.05,0.53,0.04,0.17283310494673038
Poland,51.9194,19.1451,119.0,0.0,3.0,0.18,0.06,0.71,0.05,0.14690813920472082
Portugal,39.3999,-8.2245,245.0,2.0,0.0,0.29,0.06,0.56,0.09,0.30245793365677814
Qatar,25.3548,51.1839,401.0,4.0,0.0,0.24,0.05,0.57,0.14,0.49504339345456344
Romania,45.9432,24.9668,131.0,9.0,0.0,0.32,0.07,0.53,0.08,0.161722405343012
Russia,61.524,105.3188,63.0,8.0,0.0,0.4,0.12,0.44,0.04,0.07777489722602866
Rwanda,-1.9403,29.8739,1.0,0.0,0.0,0.09,0.02,0.52,0.37,0.0012345221781909312
San Marino,43.9424,12.4578,101.0,4.0,5.0,0.23,0.08,0.62,0.07,0.12468673999728405
Saudi Arabia,23.8859,45.0792,103.0,1.0,0.0,0.14,0.01,0.78,0.07,0.12715578435366592
Senegal,14.4974,-14.4524,24.0,1.0,0.0,0.18,0.03,0.58,0.21,0.02962853227658235
Serbia,44.0165,21.0059,48.0,0.0,0.0,0.34,0.02,0.59,0.05,0.0592570645531647
Seychelles,-4.6796,55.492,2.0,0.0,0.0,0.13,0.04,0.65,0.18,0.0024690443563818625
Singapore,1.3521,103.8198,226.0,105.0,0.0,0.51,0.07,0.29,0.13,0.27900201227115046
Slovakia,48.669,19.699,54.0,0.0,0.0,0.56,0.15,0.17,0.12,0.06666419762231028
Slovenia,46.1512,14.9955,219.0,0.0,1.0,0.36,0.07,0.45,0.12,0.27036035702381395
South Africa,-30.5595,22.9375,51.0,0.0,0.0,0.16,0.02,0.61,0.21,0.06296063108773749
South Korea,35.9078,127.7669,8162.0,510.0,75.0,0.19,0.02,0.7,0.09,10.07617001839438
Spain,40.4637,-3.7492,7798.0,517.0,289.0,0.1,0.05,0.77,0.08,9.626803945532881
Sri Lanka,7.8731,80.7718,18.0,1.0,0.0,0.37,0.06,0.45,0.12,0.02222139920743676
Sudan,12.8628,30.2176,1.0,0.0,1.0,0.07,0.0,0.86,0.07,0.0012345221781909312
Suriname,3.9193,-56.0278,1.0,0.0,0.0,0.13,0.02,0.73,0.12,0.0012345221781909312
Sweden,60.1282,18.6435,1022.0,1.0,3.0,0.16,0.04,0.62,0.18,1.2616816661111316
Switzerland,46.8182,8.2275,2200.0,4.0,14.0,0.17,0.05,0.56,0.22,2.7159487920200487
Taiwan,23.7,121.0,59.0,20.0,1.0,0.09,0.24,0.62,0.05,0.07283680851326495
Thailand,15.87,100.9925,114.0,35.0,1.0,0.35,0.0,0.63,0.02,0.14073552831376615
Togo,8.6195,0.8248,1.0,0.0,0.0,0.11,0.04,0.54,0.31,0.0012345221781909312
Tunisia,33.8869,9.5375,18.0,0.0,0.0,0.26,0.03,0.64,0.07,0.02222139920743676
Turkey,38.9637,35.2433,6.0,0.0,0.0,0.38,0.04,0.54,0.04,0.0074071330691455875
US,2135.3107000000005,-4730.1398,3499.0,12.0,63.0,0.13,0.02,0.4,0.45,4.319593101490068
Ukraine,48.3794,31.1656,3.0,0.0,1.0,0.34,0.25,0.37,0.04,0.0037035665345727937
United Arab Emirates,23.4241,53.8478,98.0,23.0,0.0,0.28,0.04,0.53,0.15,0.12098317346271126
United Kingdom,140.89120000000003,-11.154,1144.0,19.0,21.0,0.2,0.02,0.61,0.17,1.4122933718504254
Uruguay,-32.5228,-55.7658,4.0,0.0,0.0,0.09,0.04,0.76,0.11,0.004938088712763725
Uzbekistan,41.3775,64.5853,1.0,0.0,0.0,0.43,0.05,0.41,0.11,0.0012345221781909312
Vatican City,41.9029,12.4534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012345221781909312
Venezuela,6.4238,-66.5897,10.0,0.0,0.0,0.24,0.01,0.65,0.1,0.012345221781909312
Vietnam,14.0583,108.2772,56.0,16.0,0.0,0.43,0.02,0.49,0.06,0.06913324197869215
